Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,winner_num
Hall of Fame Championships,2005-07-06,International,Outdoor,Grass,2nd Round,3,Moodie W.,Dent T.,129,29,338,1170,4.0,1.22,6-4 6-1,player 1
Hall of Fame Championships,2005-07-06,International,Outdoor,Grass,2nd Round,3,Murray A.,Dupuis A.,213,111,186,385,1.5,2.5,4-6 1-6,player 2
Hall of Fame Championships,2005-07-06,International,Outdoor,Grass,2nd Round,3,Rusedski G.,Vik R.,39,110,863,386,1.16,4.5,6-2 7-6,player 1
Hall of Fame Championships,2005-07-07,International,Outdoor,Grass,Quarterfinals,3,Vemic D.,Spadea V.,274,49,131,730,3.5,1.28,3-6 4-6,player 2
Hall of Fame Championships,2005-07-07,International,Outdoor,Grass,Quarterfinals,3,Goldstein P.,Waske A.,92,134,435,317,1.9,1.8,6-3 3-6 7-6,player 1
Hall of Fame Championships,2005-07-09,International,Outdoor,Grass,Quarterfinals,3,Dupuis A.,Rusedski G.,111,39,385,863,2.37,1.53,6-7 4-6,player 2
Hall of Fame Championships,2005-07-09,International,Outdoor,Grass,Quarterfinals,3,Moodie W.,Mertinak M.,129,135,338,316,1.44,2.62,6-4 6-3,player 1
Hall of Fame Championships,2005-07-09,International,Outdoor,Grass,Semifinals,3,Goldstein P.,Spadea V.,92,49,435,730,2.62,1.44,6-7 2-6,player 2
Hall of Fame Championships,2005-07-09,International,Outdoor,Grass,Semifinals,3,Rusedski G.,Moodie W.,39,129,863,338,1.559,2.69,7-6 6-4,player 1
Hall of Fame Championships,2005-07-10,International,Outdoor,Grass,The Final,3,Spadea V.,Rusedski G.,49,39,730,863,2.25,1.57,6-7 6-2 4-6,player 2
Priority Telecom Dutch Open,2005-07-18,International,Outdoor,Clay,1st Round,3,Sanchez D.,Behrend T.,128,90,345,446,1.61,2.2,6-4 7-5,player 1
Priority Telecom Dutch Open,2005-07-18,International,Outdoor,Clay,1st Round,3,Lapentti N.,Vik R.,99,104,414,403,1.57,2.25,1-6 3-6,player 2
Priority Telecom Dutch Open,2005-07-18,International,Outdoor,Clay,1st Round,3,Gonzalez F.,Vliegen K.,21,110,1295,381,1.1,6.0,6-2 6-1,player 1
Priority Telecom Dutch Open,2005-07-18,International,Outdoor,Clay,1st Round,3,Hernandez O.,Ventura S.,76,120,513,364,1.44,2.62,6-3 0-6 1-6,player 2
Priority Telecom Dutch Open,2005-07-18,International,Outdoor,Clay,1st Round,3,Rochus C.,Tabara M.,46,109,739,381,1.36,2.87,4-6 6-2 7-5,player 1
Priority Telecom Dutch Open,2005-07-18,International,Outdoor,Clay,1st Round,3,Norman D.,Vanek J.,101,81,407,475,2.75,1.39,7-6 2-6 3-6,player 2
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Marin J.A.,Aldi F.,184,112,228,377,1.72,2.0,7-6 6-1,player 1
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Roitman S.,Calatrava A.,224,148,170,284,2.0,1.72,6-3 3-6 5-7,player 2
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Calleri A.,Benneteau J.,94,142,437,297,1.39,2.75,6-4 2-6 6-3,player 1
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Thomann N.,Massu N.,311,31,108,1165,6.0,1.1,4-6 2-6,player 2
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Bracciali D.,Zitko R.,118,487,371,52,1.4489999999999998,2.655,7-6 6-3,player 1
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Horna L.,Sluiter R.,49,133,710,317,1.28,3.25,7-6 3-6 5-7,player 2
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Minar I.,Serra F.,91,80,444,481,1.83,1.83,6-4 6-2,player 1
Priority Telecom Dutch Open,2005-07-19,International,Outdoor,Clay,1st Round,3,Korteling S.,Hanescu V.,463,54,57,655,6.8,1.109,4-6 5-7,player 2
Priority Telecom Dutch Open,2005-07-20,International,Outdoor,Clay,1st Round,3,Puerta M.,Tipsarevic J.,12,92,1611,441,1.16,4.5,6-2 6-2,player 1
Priority Telecom Dutch Open,2005-07-20,International,Outdoor,Clay,2nd Round,3,Vanek J.,Massu N.,81,31,475,1165,4.0,1.22,4-6 5-7,player 2
Priority Telecom Dutch Open,2005-07-20,International,Outdoor,Clay,2nd Round,3,Calleri A.,Hanescu V.,94,54,437,655,2.2,1.61,7-6 6-4,player 1
Priority Telecom Dutch Open,2005-07-20,International,Outdoor,Clay,2nd Round,3,Rochus C.,van Gemerden M.,46,233,739,163,1.39,2.75,2-6 5-7,player 2
Priority Telecom Dutch Open,2005-07-20,International,Outdoor,Clay,2nd Round,3,Sanchez D.,Calatrava A.,128,148,345,284,1.39,2.75,6-2 6-2,player 1
Priority Telecom Dutch Open,2005-07-21,International,Outdoor,Clay,2nd Round,3,Ventura S.,Minar I.,120,91,364,444,2.25,1.57,6-7 4-6,player 2
Priority Telecom Dutch Open,2005-07-21,International,Outdoor,Clay,2nd Round,3,Puerta M.,Marin J.A.,12,184,1611,228,1.08,7.0,6-2 6-2,player 1
Priority Telecom Dutch Open,2005-07-21,International,Outdoor,Clay,2nd Round,3,Vik R.,Gonzalez F.,104,21,403,1295,8.5,1.05,2-6 2-6,player 2
Priority Telecom Dutch Open,2005-07-21,International,Outdoor,Clay,2nd Round,3,Bracciali D.,Sluiter R.,118,133,371,317,2.25,1.57,1-6 7-6 6-2,player 1
Priority Telecom Dutch Open,2005-07-22,International,Outdoor,Clay,Quarterfinals,3,Massu N.,Sanchez D.,31,128,1165,345,1.44,2.62,3-6 6-4 3-6,player 2
Priority Telecom Dutch Open,2005-07-22,International,Outdoor,Clay,Quarterfinals,3,Gonzalez F.,Bracciali D.,21,118,1295,371,1.08,7.0,6-3 6-3,player 1
Priority Telecom Dutch Open,2005-07-22,International,Outdoor,Clay,Quarterfinals,3,van Gemerden M.,Calleri A.,233,94,163,437,2.75,1.39,4-6 4-6,player 2
Priority Telecom Dutch Open,2005-07-22,International,Outdoor,Clay,Quarterfinals,3,Minar I.,Puerta M.,91,12,444,1611,5.5,1.12,6-2 5-7 7-6,player 1
Priority Telecom Dutch Open,2005-07-23,International,Outdoor,Clay,Semifinals,3,Sanchez D.,Gonzalez F.,128,21,345,1295,4.0,1.22,2-6 1-6,player 2
Priority Telecom Dutch Open,2005-07-23,International,Outdoor,Clay,Semifinals,3,Calleri A.,Minar I.,94,91,437,444,1.66,2.1,6-4 6-4,player 1
Priority Telecom Dutch Open,2005-07-24,International,Outdoor,Clay,The Final,3,Calleri A.,Gonzalez F.,94,21,437,1295,3.75,1.25,5-7 3-6,player 2
RCA Championships,2005-07-18,International,Outdoor,Hard,1st Round,3,Moodie W.,Lisnard J.,116,106,373,393,1.36,2.87,6-3 6-3,player 1
RCA Championships,2005-07-18,International,Outdoor,Hard,1st Round,3,Lu Y.,Tursunov D.,139,119,302,367,2.1,1.66,3-6 4-6,player 2
RCA Championships,2005-07-18,International,Outdoor,Hard,1st Round,3,Dupuis A.,Popp A.,124,299,350,116,1.53,2.37,7-5 6-1,player 1
RCA Championships,2005-07-18,International,Outdoor,Hard,1st Round,3,Ryderstedt M.,Ginepri R.,130,98,330,415,4.0,1.19,1-6 4-6,player 2
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Carraz G.,Blake J.,125,107,348,390,3.0,1.33,7-5 6-7 7-5,player 1
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Washington M.,Lapentti G.,864,114,11,374,2.75,1.39,6-7 3-6,player 2
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Dlouhy L.,103,131,403,329,1.57,2.25,6-4 6-1,player 1
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Morrison J.,Bastl G.,141,129,300,331,1.39,2.75,4-6 4-6,player 2
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Young D.,150,621,276,30,1.25,3.5,7-6 6-2,player 1
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Delic A.,Phau B.,146,111,290,381,1.66,2.1,4-6 7-6 3-6,player 2
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Okun N.,Evans B.,144,432,294,63,1.36,2.87,6-3 6-3,player 1
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Falla A.,Goldstein P.,288,78,123,504,2.25,1.57,0-6 4-6,player 2
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Ram R.,Schalken S.,234,202,163,195,2.03,1.7225,7-5 7-6,player 1
RCA Championships,2005-07-19,International,Outdoor,Hard,1st Round,3,Karlovic I.,Kim K.,73,69,525,541,1.53,2.37,4-6 7-6 3-6,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,1st Round,3,Baghdatis M.,de Chaunac S.,72,255,530,143,1.28,3.25,1-6 6-3 6-4,player 1
RCA Championships,2005-07-20,International,Outdoor,Hard,1st Round,3,Saretta F.,Murray A.,115,164,373,255,3.0,1.33,4-6 2-6,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Roddick A.,Tursunov D.,4,119,3590,367,1.08,7.0,7-6 6-7 7-6,player 1
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Moodie W.,Rusedski G.,116,40,373,838,2.75,1.39,7-6 6-7 6-7,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Ginepri R.,Spadea V.,98,42,415,810,2.25,1.57,6-4 6-3,player 1
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Carraz G.,Srichaphan P.,125,43,348,800,2.37,1.53,3-6 6-7,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Goldstein P.,Mirnyi M.,78,33,504,1095,3.25,1.33,0-6 6-3 6-3,player 1
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Lee H.T.,Kim K.,62,69,603,541,1.72,2.0,6-7 4-6,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Lapentti G.,Saulnier C.,114,59,374,623,2.25,1.57,6-4 5-7 6-2,player 1
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Hernych J.,Phau B.,61,111,605,381,1.28,3.5,6-7 3-6,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Bastl G.,Hrbaty D.,129,24,331,1206,4.5,1.16,6-4 6-7 6-4,player 1
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Murray A.,Fish M.,164,68,255,555,1.83,1.83,4-6 6-4 4-6,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Dupuis A.,26,124,1185,350,1.28,3.5,7-5 6-4,player 1
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Malisse X.,Okun N.,63,144,603,294,1.22,4.0,2-6 4-6,player 2
RCA Championships,2005-07-20,International,Outdoor,Hard,2nd Round,3,Carlsen K.,Baghdatis M.,55,72,655,530,2.1,1.66,7-5 2-6 6-4,player 1
RCA Championships,2005-07-21,International,Outdoor,Hard,2nd Round,3,Bjorkman J.,Beck K.,103,45,403,742,2.25,1.57,4-6 5-7,player 2
RCA Championships,2005-07-21,International,Outdoor,Hard,2nd Round,3,Dent T.,Gambill J.M.,30,150,1170,276,1.25,3.75,6-3 6-4,player 1
RCA Championships,2005-07-21,International,Outdoor,Hard,2nd Round,3,Cakl T.,Ram R.,281,234,127,163,3.25,1.33,5-7 6-7,player 2
RCA Championships,2005-07-21,International,Outdoor,Hard,3rd Round,3,Ginepri R.,Srichaphan P.,98,43,415,800,1.66,2.1,6-0 6-4,player 1
RCA Championships,2005-07-21,International,Outdoor,Hard,3rd Round,3,Lapentti G.,Goldstein P.,114,78,374,504,2.25,1.57,3-6 2-6,player 2
RCA Championships,2005-07-21,International,Outdoor,Hard,3rd Round,3,Kiefer N.,Kim K.,26,69,1185,541,1.33,3.25,6-1 6-3,player 1
RCA Championships,2005-07-21,International,Outdoor,Hard,3rd Round,3,Ram R.,Beck K.,234,45,163,742,3.75,1.25,2-6 4-6,player 2
RCA Championships,2005-07-21,International,Outdoor,Hard,3rd Round,3,Dent T.,Phau B.,30,111,1170,381,1.14,5.0,6-2 6-2,player 1
RCA Championships,2005-07-22,International,Outdoor,Hard,3rd Round,3,Carlsen K.,Rusedski G.,55,40,655,838,2.5,1.5,6-7 2-6,player 2
RCA Championships,2005-07-22,International,Outdoor,Hard,3rd Round,3,Roddick A.,Okun N.,4,144,3590,294,1.03,10.0,6-3 6-3,player 1
RCA Championships,2005-07-22,International,Outdoor,Hard,Quarterfinals,3,Bastl G.,Beck K.,129,45,331,742,3.75,1.25,4-6 5-7,player 2
RCA Championships,2005-07-22,International,Outdoor,Hard,Quarterfinals,3,Dent T.,Goldstein P.,30,78,1170,504,1.22,4.0,6-3 6-2,player 1
RCA Championships,2005-07-22,International,Outdoor,Hard,Quarterfinals,3,Roddick A.,Ginepri R.,4,98,3590,415,1.08,7.0,6-4 6-7 5-7,player 2
RCA Championships,2005-07-23,International,Outdoor,Hard,Quarterfinals,3,Rusedski G.,Kiefer N.,40,26,838,1185,2.37,1.53,3-6 7-6 6-4,player 1
RCA Championships,2005-07-23,International,Outdoor,Hard,Semifinals,3,Beck K.,Ginepri R.,45,98,742,415,2.1,1.66,7-5 2-6 3-6,player 2
RCA Championships,2005-07-23,International,Outdoor,Hard,Semifinals,3,Dent T.,Rusedski G.,30,40,1170,838,1.72,2.0,6-4 6-4,player 1
Mercedes Cup,2005-07-18,International Gold,Outdoor,Clay,1st Round,3,Brzezicki J.P.,Kohlschreiber P.,136,64,310,586,2.36,1.5903333333333334,6-3 3-6 3-6,player 2
Mercedes Cup,2005-07-18,International Gold,Outdoor,Clay,1st Round,3,Ramirez-Hidalgo R.,Koubek S.,147,87,290,458,1.875,1.88,6-4 6-3,player 1
Mercedes Cup,2005-07-18,International Gold,Outdoor,Clay,1st Round,3,Thron A.,Zabaleta M.,1473,93,1,440,12.0,1.045,2-6 3-6,player 2
Mercedes Cup,2005-07-18,International Gold,Outdoor,Clay,1st Round,3,Simon G.,Montanes A.,132,84,329,469,2.87,1.36,6-7 6-1 6-1,player 1
Mercedes Cup,2005-07-18,International Gold,Outdoor,Clay,1st Round,3,Mayer F.,Seppi A.,83,77,469,506,2.2,1.61,6-7 3-6,player 2
Mercedes Cup,2005-07-18,International Gold,Outdoor,Clay,1st Round,3,Beck A.,di Mauro A.,357,105,85,397,4.0,1.19,6-4 6-3,player 1
Mercedes Cup,2005-07-18,International Gold,Outdoor,Clay,1st Round,3,Summerer T.,Monaco J.,168,67,249,556,4.5,1.16,1-6 4-6,player 2
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Waske A.,Haehnel J.,121,108,357,386,1.53,2.37,7-5 6-2,player 1
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Blanco G.,Costa A.,292,100,122,410,3.25,1.28,4-6 4-6,player 2
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Zib T.,Greul S.,57,140,647,302,1.39,2.75,4-6 7-6 6-2,player 1
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Almagro N.,Verdasco F.,82,58,472,640,2.5,1.5,6-7 0-6,player 2
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Sabau R.,Berlocq C.,79,138,483,304,1.8,1.9,6-2 6-2,player 1
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Burgsmuller L.,Nieminen J.,85,66,464,557,4.5,1.16,7-6 0-6 1-6,player 2
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Starace P.,Monfils G.,95,65,435,585,1.61,2.2,6-2 6-3,player 1
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Vicente F.,Schuettler R.,122,89,353,450,2.1,1.66,6-7 4-6,player 2
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,1st Round,3,Armando H.,Kuerten G.,167,208,250,185,2.75,1.39,6-4 6-1,player 1
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,2nd Round,3,Rochus O.,Zabaleta M.,36,93,1011,440,2.5,1.5,6-4 2-6 3-6,player 2
Mercedes Cup,2005-07-19,International Gold,Outdoor,Clay,2nd Round,3,Simon G.,Volandri F.,132,34,329,1041,4.0,1.22,6-3 2-6 6-4,player 1
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Acasuso J.,Waske A.,44,121,781,357,1.36,3.0,5-7 4-6,player 2
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Nieminen J.,Melzer J.,66,37,557,965,1.57,2.25,6-4 6-7 6-4,player 1
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Sabau R.,Novak J.,79,23,483,1215,2.62,1.44,6-4 4-6 0-6,player 2
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Seppi A.,Martin A.,77,52,506,662,2.0,1.72,6-4 6-4,player 1
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Ramirez-Hidalgo R.,Davydenko N.,147,7,290,2045,5.5,1.12,4-6 1-6,player 2
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Berdych T.,Kohlschreiber P.,38,64,906,586,1.22,4.0,7-6 1-6 6-3,player 1
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Starace P.,Robredo T.,95,16,435,1485,3.5,1.28,7-6 3-6 2-6,player 2
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Zib T.,Pavel A.,57,41,647,825,2.37,1.53,5-7 6-3 6-1,player 1
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Youzhny M.,Schuettler R.,25,89,1200,450,1.53,2.37,5-7 3-6,player 2
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Verdasco F.,Andreev I.,58,48,640,724,1.8,1.9,6-4 5-7 7-6,player 1
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Ferrer D.,Monaco J.,20,67,1340,556,1.39,2.75,4-6 2-6,player 2
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Nadal R.,Armando H.,3,167,3750,250,1.01,13.0,6-1 6-2,player 1
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Costa A.,Mathieu P.H.,100,56,410,654,1.8,1.9,3-6 4-6,player 2
Mercedes Cup,2005-07-20,International Gold,Outdoor,Clay,2nd Round,3,Gaudio G.,Beck A.,13,357,1590,85,1.03,10.0,6-3 6-3,player 1
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Novak J.,Nieminen J.,23,66,1215,557,2.0,1.72,6-2 2-6 6-7,player 2
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Seppi A.,Robredo T.,77,16,506,1485,3.25,1.33,7-5 2-6 6-1,player 1
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Simon G.,Zabaleta M.,132,93,329,440,3.5,1.28,6-7 1-6,player 2
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Davydenko N.,Waske A.,7,121,2045,357,1.1,6.5,7-6 6-3,player 1
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Mathieu P.H.,Gaudio G.,56,13,654,1590,4.5,1.16,2-6 7-6 0-6,player 2
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Berdych T.,Schuettler R.,38,89,906,450,1.53,2.37,7-6 6-1,player 1
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Monaco J.,Zib T.,67,57,556,647,1.4,2.75,4-6 6-7,player 2
Mercedes Cup,2005-07-21,International Gold,Outdoor,Clay,3rd Round,3,Nadal R.,Verdasco F.,3,58,3750,640,1.04,9.0,6-3 6-2,player 1
Mercedes Cup,2005-07-22,International Gold,Outdoor,Clay,Quarterfinals,3,Berdych T.,Davydenko N.,38,7,906,2045,3.25,1.33,4-6 2-6,player 2
Mercedes Cup,2005-07-22,International Gold,Outdoor,Clay,Quarterfinals,3,Nieminen J.,Seppi A.,66,77,557,506,2.2,1.61,6-2 6-3,player 1
Mercedes Cup,2005-07-22,International Gold,Outdoor,Clay,Quarterfinals,3,Zib T.,Nadal R.,57,3,647,3750,11.0,1.02,2-6 1-6,player 2
Mercedes Cup,2005-07-22,International Gold,Outdoor,Clay,Quarterfinals,3,Gaudio G.,Zabaleta M.,13,93,1590,440,1.25,3.75,6-4 1-6 6-2,player 1
Mercedes Cup,2005-07-23,International Gold,Outdoor,Clay,Semifinals,3,Nieminen J.,Nadal R.,66,3,557,3750,11.0,1.02,2-6 5-7,player 2
Mercedes Cup,2005-07-24,International Gold,Outdoor,Clay,The Final,5,Nadal R.,Gaudio G.,3,13,3750,1590,1.12,5.5,6-3 6-3 6-4,player 1
Generali Open,2005-07-25,International Gold,Outdoor,Clay,1st Round,3,Luczak P.,Vik R.,160,98,261,415,1.85,1.933333333333333,3-6 6-7,player 2
Generali Open,2005-07-25,International Gold,Outdoor,Clay,1st Round,3,di Mauro A.,Sluiter R.,105,130,397,327,2.2,1.61,6-2 6-3,player 1
Generali Open,2005-07-25,International Gold,Outdoor,Clay,1st Round,3,Zib T.,Marach O.,51,162,688,260,1.16,4.5,6-3 5-7 2-6,player 2
Generali Open,2005-07-25,International Gold,Outdoor,Clay,1st Round,3,Mayer F.,Monaco J.,96,67,417,556,2.37,1.53,5-7 7-6 6-4,player 1
Generali Open,2005-07-25,International Gold,Outdoor,Clay,1st Round,3,Ventura S.,Behrend T.,122,91,354,446,2.0,1.72,4-6 2-6,player 2
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Costa A.,77,102,511,400,2.37,1.53,6-2 6-4,player 1
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Ramirez-Hidalgo R.,Labadze I.,140,150,300,273,1.862,2.06,3-6 3-6,player 2
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Schuettler R.,Sanchez D.,112,106,380,395,1.9,1.8,6-3 6-3,player 1
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Schukin Y.,Minar I.,225,80,168,499,3.75,1.22,3-6 6-7,player 2
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Koubek S.,Armando H.,89,154,448,265,1.66,2.1,6-4 6-2,player 1
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Seppi A.,Verdasco F.,69,68,551,555,2.25,1.57,2-6 4-6,player 2
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Zabaleta M.,Haehnel J.,93,110,440,382,1.08,6.5,6-2 7-6,player 1
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Sabau R.,Almagro N.,81,83,492,469,2.62,1.44,3-6 2-6,player 2
Generali Open,2005-07-26,International Gold,Outdoor,Clay,1st Round,3,Koellerer D.,Tabara M.,215,111,176,381,2.0,1.72,7-6 3-6 6-4,player 1
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Davydenko N.,Zabaleta M.,7,93,2115,440,1.36,3.0,4-6 6-7,player 2
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Verdasco F.,Rochus O.,68,33,555,1011,1.39,2.75,7-5 6-3,player 1
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Andreev I.,Almagro N.,48,83,724,469,1.66,2.1,3-6 2-6,player 2
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Gaudio G.,Kohlschreiber P.,13,77,1590,511,1.06,8.0,7-5 6-3,player 1
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Koellerer D.,Massu N.,215,36,176,955,5.5,1.12,6-7 5-7,player 2
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Mayer F.,Acasuso J.,96,45,417,781,2.1,1.66,6-3 6-4,player 1
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Horna L.,Lapentti N.,53,99,665,414,1.57,2.25,4-6 1-6,player 2
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Gonzalez F.,Marach O.,17,162,1465,260,1.04,9.0,6-3 6-4,player 1
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,di Mauro A.,Lopez F.,105,23,397,1220,2.87,1.36,6-7 4-6,player 2
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Youzhny M.,Minar I.,25,80,1200,499,1.66,2.1,6-0 7-5,player 1
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Behrend T.,Hanescu V.,91,52,446,665,2.25,1.57,0-6 1-6,player 2
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Pavel A.,Schuettler R.,41,112,825,380,2.0,1.72,6-4 3-6 7-6,player 1
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Labadze I.,Puerta M.,150,10,273,1641,5.82,1.19,3-6 4-6,player 2
Generali Open,2005-07-27,International Gold,Outdoor,Clay,2nd Round,3,Melzer J.,Vemic D.,35,217,965,175,1.16,4.5,6-2 3-6 6-3,player 1
Generali Open,2005-07-28,International Gold,Outdoor,Clay,3rd Round,3,Mayer F.,Lopez F.,96,23,417,1220,2.25,1.57,5-7 1-6,player 2
Generali Open,2005-07-28,International Gold,Outdoor,Clay,3rd Round,3,Zabaleta M.,Almagro N.,93,83,440,469,1.44,2.62,6-3 4-6 6-3,player 1
Generali Open,2005-07-28,International Gold,Outdoor,Clay,3rd Round,3,Gonzalez F.,Lapentti N.,17,99,1465,414,1.1,6.5,6-4 5-7 3-6,player 2
Generali Open,2005-07-28,International Gold,Outdoor,Clay,3rd Round,3,Hanescu V.,Puerta M.,52,10,665,1641,3.25,1.33,6-4 6-3,player 1
Generali Open,2005-07-28,International Gold,Outdoor,Clay,3rd Round,3,Melzer J.,Verdasco F.,35,68,965,555,2.62,1.44,6-1 2-6 1-6,player 2
Generali Open,2005-07-28,International Gold,Outdoor,Clay,3rd Round,3,Massu N.,Koubek S.,36,89,955,448,1.39,2.75,7-5 6-2,player 1
Generali Open,2005-07-28,International Gold,Outdoor,Clay,3rd Round,3,Vik R.,Gaudio G.,98,13,415,1590,8.0,1.06,4-6 2-6,player 2
Generali Open,2005-07-29,International Gold,Outdoor,Clay,Quarterfinals,3,Verdasco F.,Hanescu V.,68,52,555,665,1.61,2.2,6-3 6-3,player 1
Generali Open,2005-07-29,International Gold,Outdoor,Clay,Quarterfinals,3,Lapentti N.,Massu N.,99,36,414,955,2.75,1.39,4-6 7-6 2-6,player 2
Generali Open,2005-07-29,International Gold,Outdoor,Clay,Quarterfinals,3,Gaudio G.,Youzhny M.,13,25,1590,1200,1.14,5.0,6-4 4-6 6-4,player 1
Generali Open,2005-07-29,International Gold,Outdoor,Clay,Quarterfinals,3,Lopez F.,Zabaleta M.,23,93,1220,440,2.5,1.5,4-6 2-6,player 2
